"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00907",-0.243545991685135,2.59595797523638,-0.457069851449295,0.65365252853958,0.790808602554397,-6.16551219515241
"JOSD2",-0.142775644029074,7.86533770156161,-0.456888905608872,0.653779881798878,0.790922601227707,-6.16559577848516
"RP4-555D20.2",-0.398169749545755,3.22317099252443,-0.456837120068594,0.653816331516665,0.79092662163915,-6.16561969356772
"SH2D4B",-0.275974300114119,2.0537892175714,-0.456779847444025,0.65385664442037,0.790935314732027,-6.16564613956669
"NIPAL3",0.0853057522489875,9.6244261682962,0.456608619279867,0.653977174639218,0.791041036612087,-6.165725186004
"RP1-151F17.1",0.145366607996554,4.76752259634349,0.456530307532517,0.654032302810856,0.791067642447416,-6.1657613285258
"ZNF542P",0.216681336822684,7.45439895714251,0.456463338077374,0.654079448124922,0.791084590620061,-6.16579223155179
"MTHFD2",0.149820339544974,10.641931396975,0.456034781025976,0.654381180472585,0.791409434959145,-6.16598988448679
"CASC4P1",0.220434267590619,2.37479907182068,0.45593397041965,0.654452166749963,0.791455048803343,-6.16603635263929
"PPM1F",-0.177073810492444,10.424799346053,-0.455887069182041,0.654485193649405,0.791455048803343,-6.16605796812346
"RGS13",-0.296513062231056,5.84658445002761,-0.455779428753375,0.654560994652377,0.791481148607907,-6.16610756843323
"TGFBI",0.291104708244489,14.5704434476067,0.455752695706504,0.65457982082044,0.791481148607907,-6.1661198851536
"AC074366.3",0.311383275220493,1.52320305179104,0.455703950567497,0.654614149145409,0.791481148607907,-6.16614234169701
"RP11-560J1.2",0.201159711064995,2.74134097596438,0.455668131062932,0.654639375218166,0.791481148607907,-6.16615884200021
"MYL12AP1",0.131989233383704,4.89359419460357,0.45553118074825,0.654735827169452,0.791498087682885,-6.1662219166998
"ZNF791",-0.0850618451842053,9.96967930963837,-0.455519517926851,0.654744041402421,0.791498087682885,-6.16622728734902
"YIPF5",0.0927297587119319,10.1587247685044,0.455507030117864,0.654752836732479,0.791498087682885,-6.1662330377509
"DCTN3",-0.0802852335943816,9.61328617602743,-0.455327446619837,0.654879325578109,0.791610914211368,-6.16631571560331
"GOLGA7",0.0839948197390839,10.4216831514958,0.454620161492751,0.655377604129265,0.792157446874724,-6.16664103143954
"UBALD2",0.120090794467696,9.77160962000843,0.454557195684416,0.655421971345229,0.792157446874724,-6.1666699686878
"RHEBP1",-0.153162532555186,3.70314135014804,-0.454543856889303,0.655431370350438,0.792157446874724,-6.16667609830767
"RP11-438L7.1",0.185774048929171,2.55193865540698,0.45449730938997,0.655464169896844,0.792157446874724,-6.1666974870588
"UMODL1-AS1",0.363216676082379,1.75348200556449,0.454208369013082,0.655667787074881,0.79230547472117,-6.16683020851895
"NHEJ1",0.156692999012645,3.59959799120443,0.454146836178554,0.655711153071875,0.79230547472117,-6.16685846230433
"UCHL3",0.0878436392643813,7.34694946989962,0.454136719751303,0.655718282865883,0.79230547472117,-6.16686310706682
"MMAA",-0.120006776985277,8.31471668233018,-0.454135147372099,0.655719391040808,0.79230547472117,-6.16686382898536
"UCHL5",0.0910988046513526,9.54613099405875,0.453678577409941,0.656041205609299,0.79261845488062,-6.16707334864817
"LY6G5C",0.152097194257857,5.61542947336097,0.453667695976991,0.656048876269352,0.79261845488062,-6.16707833962594
"FRG1CP",-0.114472224280653,8.46916316716668,-0.453626370559927,0.656078008200942,0.79261845488062,-6.16709729325806
"MSH2",0.0862030788711647,9.28835165874897,0.453514159798849,0.656157112920451,0.79263249244705,-6.16714874950503
"SDHAF1",-0.104771336279215,7.49339832893586,-0.453503924611333,0.656164328584918,0.79263249244705,-6.16715344241573
"PLEKHA8P1",0.132367022557776,6.50158203923433,0.453449710474228,0.656202549380968,0.79263249244705,-6.16717829828592
"ACSS2",-0.104401668242115,9.82356146376167,-0.453419771646286,0.656223656582548,0.79263249244705,-6.16719202327343
"SULT4A1",0.463557812499437,2.93647263444881,0.453374439283305,0.656255616966547,0.79263249244705,-6.16721280350593
"PAX9",-0.335715409148195,2.38509553954219,-0.45327420737489,0.65632628526756,0.792677747334123,-6.16725874235605
"ERVK3-1",0.147178413183083,9.78868300751173,0.453145533269573,0.656417011614107,0.792747221512313,-6.16731770248736
"TMEM220",0.177169461096698,7.4869876975852,0.453092596807542,0.656454337997209,0.79275220140718,-6.16734195392086
"FAM156B",-0.0879588815861722,9.73532148238061,-0.452858541602764,0.656619385475134,0.792911412482516,-6.16744914701103
"DAP",-0.0835559281646745,10.9920917087959,-0.452796682564855,0.656663009351561,0.792923987825716,-6.16747746832649
"DDX5",-0.135467180974977,15.4691023770213,-0.452681804185747,0.656744026621802,0.792981712330441,-6.16753005382304
"GDPD5",0.141356507191862,8.73550846428341,0.45256173000025,0.656828712922868,0.793029224661388,-6.16758500380088
"HOXA1",0.178239082671905,4.90669596896009,0.452531825074044,0.656849805114073,0.793029224661388,-6.1675986870898
"TUBB8P7",-0.220159055597061,2.20552922448635,-0.452423603191089,0.656926137401473,0.793081279091752,-6.16764819769875
"ASB6",0.086392213083702,9.13158642065072,0.451973766154733,0.657243463544701,0.793398359016814,-6.16785387073871
"PMVK",0.110783248375957,9.45576727970097,0.451957071919753,0.65725524137182,0.793398359016814,-6.16786149978657
"ZNF180",0.0922826935301942,7.7782578399085,0.451891996000199,0.657301153495145,0.793413667383725,-6.16789123601259
"PDS5A",0.0868413762627751,11.6217297074848,0.451257168540579,0.6577491088488,0.793874759360571,-6.16818109943798
"ARL8A",0.0940535370461304,9.94270560351009,0.451256410877653,0.657749643561351,0.793874759360571,-6.16818144515107
"TRAM1",-0.106385238555409,12.137326929063,-0.451208921593225,0.657783159001106,0.793875079831694,-6.16820311285022
"DRC7",-0.320825260356213,3.69783098090683,-0.450934235001747,0.657977033121819,0.794068926547541,-6.16832839913241
"MTIF2",0.0884050868042295,10.1253460225445,0.450675199993558,0.658159883400952,0.794249450395811,-6.16844647851383
"HLA-F-AS1",0.197971899276942,6.56476405305492,0.450521518402032,0.658268376310818,0.794315066384706,-6.16851650199186
"UCHL1",-0.472124244939682,7.68214130130425,-0.450503930424842,0.658280793204648,0.794315066384706,-6.16852451429331
"CYS1",-0.450764864786012,7.29537049041588,-0.450300543606089,0.658424389268469,0.794448186687587,-6.16861714615211
"AC104304.4",0.187805612754016,0.313485255521339,0.450179798214619,0.658509644987747,0.794510904225957,-6.16867211995968
"DPY19L1P2",-0.158650993306709,5.1127493040717,-0.450098666885385,0.658566932800171,0.794539873043804,-6.16870904992902
"RP11-533F5.2",0.107555058123293,3.05722842095953,0.449894467698976,0.658711130020002,0.794655187306366,-6.16880197014189
"WBSCR17",0.296940923792137,1.08192275662747,0.449845769159683,0.658745521013151,0.794655187306366,-6.16882412419386
"TAL2",-0.264820320866061,2.60545656246939,-0.449821021989175,0.658762997810671,0.794655187306366,-6.16883538133816
"TMA7",0.0835134647841364,10.8780434614814,0.449774796814704,0.6587956432209,0.794655187306366,-6.16885640691161
"SNAP23",0.133328517939509,11.0511705025918,0.449592149908978,0.658924640135265,0.794723532762324,-6.16893946346555
"SNRNP70",0.0743130340432994,12.3929209347098,0.449564953027147,0.658943849260873,0.794723532762324,-6.1689518281185
"DVL3",0.0747937201653334,10.8647075986021,0.449553186178385,0.658952160248606,0.794723532762324,-6.16895717751322
"UBE2C",0.290169446207164,7.36503165529142,0.449229599632362,0.659180729201305,0.794948717615895,-6.16910423157436
"NPTXR",0.202291656044913,6.22795101569926,0.449175084807443,0.659219239782941,0.794948717615895,-6.16912899570457
"INO80D",0.105050621211185,10.037826921916,0.449147454385166,0.659238758954378,0.794948717615895,-6.16914154609607
"PGA4",-0.236227873737655,3.14413359660457,-0.44896058659786,0.659370776066727,0.795067756647097,-6.16922640611165
"BDP1",0.146392144868531,10.743930249869,0.448795716914968,0.659487261746675,0.79514646675563,-6.16930124781232
"CTB-127C13.1",-0.27592586788049,0.844273457804124,-0.448773925451661,0.659502658785464,0.79514646675563,-6.16931113792443
"ZMYND19",0.0910194131942852,7.87907390430359,0.448703716593284,0.659552266831322,0.79516612416,-6.16934299921322
"C2orf74",-0.125408120734446,5.19434284734103,-0.448513498805211,0.659686678798149,0.795288015298389,-6.16942929700801
"AGL",0.105174244817563,7.60610690374031,0.448330150161118,0.659816248260194,0.795404056521277,-6.16951244465769
"IGLV4-60",-0.563441949381597,2.75674630806664,-0.448097725294933,0.659980515128649,0.795561911405646,-6.16961780048436
"SKI",0.186975165557164,10.6635280577881,0.447892963806253,0.660125245696887,0.795662922997988,-6.16971057265739
"RP1-28O10.1",-0.23865123324132,3.60964320469261,-0.447871609686426,0.660140340127111,0.795662922997988,-6.16972024528065
"FRMD4A",-0.138342490884816,10.4260520941879,-0.447837733138477,0.660164286504865,0.795662922997988,-6.16973558917648
"ADCY8",0.587742182877366,4.24984186728141,0.447768755281957,0.66021304618651,0.795681524948216,-6.16976682820857
"HS3ST1",0.246908957503357,8.00999007734855,0.447429295597127,0.660453029474791,0.795930573982441,-6.16992049603792
"RBM44",0.232881811309367,5.86377839548663,0.447342935854443,0.660514088170108,0.795949891357981,-6.16995957154792
"MAP7D2",-0.491373752519775,7.48724823000106,-0.447312323654934,0.660535732424487,0.795949891357981,-6.16997342099701
"TM9SF4",0.0937736059191179,10.6965534456045,0.447150001873605,0.660650506694995,0.796048019068873,-6.17004684252997
"DKC1",0.0793123810542981,10.072857033528,0.447097944703006,0.66068731706029,0.796052199340507,-6.17007038357394
"ZBTB4",0.0834652354743851,11.0053975181022,0.446886496025943,0.66083684465937,0.796192183634612,-6.17016597641062
"PINX1",-0.0989402461521843,6.86155591813475,-0.446825896410087,0.66087970088715,0.796203640043476,-6.1701933644776
"RP11-11N9.4",0.26515062707364,6.30326238996654,0.446735867896915,0.660943371564753,0.79622043560328,-6.17023404628306
"QPRT",-0.207476905471734,8.89944827367017,-0.446664767542198,0.660993657617951,0.79622043560328,-6.17026616924254
"SMG1P2",0.119295027552846,9.33772189943655,0.446664726989175,0.660993686299741,0.79622043560328,-6.17026618756287
"NEPRO",-0.084595451703263,10.1793795965214,-0.44661601095345,0.661028141907655,0.796221769558428,-6.1702881944641
"LRIT3",-0.169921743876659,3.51155488446767,-0.445920965299162,0.661519815525174,0.796773803938811,-6.17060191834531
"TNFAIP8L3",-0.167637505122912,6.79279609335858,-0.445290940542913,0.661965631607072,0.79727055186897,-6.17088588198024
"RP11-603B24.1",0.212479425242915,3.48716787103783,0.444849804542122,0.662277864920912,0.797578674988242,-6.1710844769826
"PTGIS",-0.316508450734191,4.64307701506844,-0.444835100899269,0.662288273174606,0.797578674988242,-6.17109109310954
"C6orf25",0.230483709212981,2.6544575710029,0.444421652483321,0.662580969730421,0.797890918105792,-6.17127704318281
"APCDD1L-AS1",0.534854443678028,3.28412889592667,0.444206448306805,0.662733343637186,0.798034159404956,-6.17137376539101
"SNURF",0.146436765588479,3.61888809919551,0.444117482385355,0.662796339837914,0.798069767006407,-6.17141373723563
"PTPN5",-0.402914850304607,2.03434558096948,-0.443879843387027,0.662964623291591,0.798191580944874,-6.17152046870071
"CTD-2521M24.13",0.324189273393784,2.84073169794092,0.443804333405197,0.663018099391396,0.798191580944874,-6.17155437104523
"C19orf53",-0.0984822890965074,9.8709854000357,-0.44375425018802,0.66305356931646,0.798191580944874,-6.17157685422096
"ZNF566",-0.117565635234873,7.25616515172981,-0.443726570422751,0.66307317302844,0.798191580944874,-6.17158927905875
"SLITRK6",0.422854631798954,1.20882077213643,0.443726456673182,0.663073253590114,0.798191580944874,-6.17158933011687
"PPP3CA",-0.170864961693303,9.69895100816922,-0.443691388370315,0.663098090469156,0.798191580944874,-6.17160507041725
"RP11-35J6.1",-0.106086395573614,2.88690127697924,-0.443523282719221,0.663217155742322,0.798294656710208,-6.1716805072757
"RP11-442N24__B.1",0.181644513664413,2.24597130661801,0.443372561739671,0.663323915777718,0.798336744467215,-6.17174811911462
"POU6F2",-0.269041649842526,1.84424768515502,-0.443356779502455,0.663335095226241,0.798336744467215,-6.17175519756314
"RP11-231E6.1",-0.396731444782646,2.72409405393386,-0.443332304665711,0.663352432295405,0.798336744467215,-6.17176617421991
